PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
27	65A42	51	DP	DP	DP	2	1	0	0	3	40	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
27	65A42	52	A	A	A	2	0	0	0	2	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
30	65A45	53	D	D	D	12	1	0	0	13	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
30	65A45	54	DP	DP	DP	4	1	0	0	5	50	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
30	65A45	55	H	H	H	3	0	0	0	3	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
31	65A46	57	V	V	V	5	0	0	0	5	20	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
31	65A46	56	D	D	D	3	1	0	0	4	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
31	65A46	58	A	A	A	2	0	0	0	2	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
31	65A46	59	W	W	W	2	0	0	0	2	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
31	65A46	60	B	B	B	1	0	0	0	1	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
32	65A47	61	D	D	D	7	2	0	0	9	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
32	65A47	62	DP	DP	DP	4	0	0	0	4	30	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
34	65A49	64	D	D	D	11	1	0	0	12	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
35	65A410	65	B	B	B	16	1	1	0	18	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
35	65A410	66	D	D	D	4	0	0	0	4	20	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
35	65A410	68	H	H	H	4	0	0	0	4	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
35	65A410	67	V	V	V	4	0	0	0	4	25	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
38	65A52	69	D	D	D	6	1	0	0	7	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
38	65A52	70	W	W	W	1	0	0	0	1	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
43	65A61	71	D	D	D	9	1	0	0	10	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
43	65A61	72	W	W	W	2	0	0	0	2	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
44	65A62	74	D	D	D	8	0	0	0	8	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
44	65A62	75	W	W	W	8	0	0	0	8	35	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
44	65A62	77	V	V	V	3	0	0	0	3	25	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
44	65A62	73	DP	DP	DP	1	1	0	0	2	50	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
44	65A62	76	H	H	H	1	0	0	0	1	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
45	65A63	78	D	D	D	8	0	0	0	8	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
45	65A63	79	DP	DP	DP	4	0	0	0	4	40	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
45	65A63	80	W	W	W	2	0	0	0	2	30	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
46	65A64	81	D	D	D	3	1	0	0	4	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
46	65A64	83	DP	DP	DP	2	1	0	0	3	35	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
46	65A64	82	W	W	W	2	0	0	0	2	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
47	65A65	84	D	D	D	6	0	0	0	6	20	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
47	65A65	86	DP	DP	DP	2	0	0	0	2	30	pinus	sabiniana		t	3	TREE_TALLY	matched	Pinus sabiniana 	1
47	65A65	85	W	W	W	2	0	0	0	2	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
48	65B11	87	Df	D	D	2	11	0	0	14	110	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
49	65B12	88	G	G	G	10	0	0	0	10	25	quercus	garryana		t	3	TREE_TALLY	matched	Quercus garryana 	1
49	65B12	90	M	M	M	4	0	0	0	4	25	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
49	65B12	91	M2	M2	M2	4	0	0	0	4	30	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
49	65B12	89	B	B	B	2	0	0	0	2	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
51	65B14	93	B	B	B	17	2	0	0	19	20	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
51	65B14	92	M	M	M	10	0	0	0	10	20	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
51	65B14	94	L	L	L	4	0	0	0	4	15	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
51	65B14	95	A	A	A	3	0	0	0	3	15	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
51	65B14	96	C	C	C	2	0	0	0	2	15	quercus	chrysolepis		t	3	TREE_TALLY	matched	Quercus chrysolepis 	1
54	65B17	97	R	R	R	5	4	4	1	14	0	sequoia	sempervirens		t	3	TREE_TALLY	matched	Sequoia sempervirens 	2
54	65B17	102	M2	M2	M2	12	0	0	0	12	15	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
54	65B17	99	B	B	B	8	0	0	0	8	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
54	65B17	101	M	M	M	8	0	0	0	8	20	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
54	65B17	103	A	A	A	6	0	0	0	6	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
54	65B17	100	L	L	L	6	0	0	0	6	25	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
54	65B17	98	DF	D	D	2	0	0	2	4	0	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
55	65B18	104	B	B	B	98	2	0	0	100	50	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
55	65B18	105	M	M	M	14	0	0	0	14	45	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
55	65B18	106	A	A	A	3	0	0	0	3	40	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
58	65B21	108	D	D	D	6	2	0	0	7	20	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
58	65B21	107	A	A	A	2	4	0	0	6	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
58	65B21	110	H	H	H	1	0	0	0	1	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
58	65B21	109	V	V	V	1	0	0	0	1	15	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
59	65B22	111	B	B	B	33	3	0	0	36	35	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
59	65B22	112	M	M	M	14	0	0	0	14	25	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
